Nr.,Question,Answer Type,Answer Options,Main Category,SubCategory,SubCategory Key
66,How do you take care of your physical health?,Freitext,,Health,Physical,health_physical
67,What do you do to support your mental health?,Freitext,,Health,Mental,health_mental
68,How many hours of sleep do you typically get?,Freitext,,Health,Sleep,health_sleep
69,How do you manage stress?,Freitext,,Health,Stress,health_stress
70,What gives you energy throughout the day?,Freitext,,Health,Energy,health_energy
71,What type of training or exercise do you do?,Freitext,,Fitness,Training,fitness_training
72,Do you incorporate stretching or mobility work?,Freitext,,Fitness,Mobility,fitness_mobility
73,How do you recover after a workout?,Freitext,,Fitness,Recovery,fitness_recovery
74,Are you working on building endurance?,Freitext,,Fitness,Endurance,fitness_endurance
75,Do you focus on strength training?,Freitext,,Fitness,Strength,fitness_strength
76,Do you enjoy running or jogging?,Freitext,,Sports,Running,sports_running
77,Have you ever played team sports?,Freitext,,Sports,TeamSports,sports_teamsports
78,What's your favorite outdoor activity?,Freitext,,Sports,Outdoor,sports_outdoor
79,Do you enjoy water sports like swimming or surfing?,Freitext,,Sports,Water,sports_water
80,Have you tried any adventure sports?,Freitext,,Sports,Adventure,sports_adventure
81,How do you prioritize sleep?,Freitext,,Recovery,Sleep,recovery_sleep
82,What helps you relax after a long day?,Freitext,,Recovery,Relaxation,recovery_relaxation
83,Do you practice mindfulness or meditation?,Freitext,,Recovery,Mindfulness,recovery_mindfulness
84,How do you take care of your body?,Freitext,,Recovery,BodyCare,recovery_bodycare
85,How do you maintain work-life balance?,Freitext,,Recovery,Balance,recovery_balance
86,What's your current role or job?,Freitext,,Work,Role,work_role
87,What kind of work environment do you thrive in?,Freitext,,Work,Environment,work_environment
88,Do you prefer working alone or collaborating with others?,Freitext,,Work,Collaboration,work_collaboration
89,What motivates you at work?,Freitext,,Work,Motivation,work_motivation
90,What type of projects do you enjoy most?,Freitext,,Work,Projects,work_projects
91,What's your career path or goal?,Freitext,,Career,Path,career_path
92,What skills are you developing right now?,Freitext,,Career,Skills,career_skills
93,Where do you want to be in five years?,Freitext,,Career,Goals,career_goals
94,What's your biggest professional achievement?,Freitext,,Career,Achievements,career_achievements
95,How do you build your professional network?,Freitext,,Career,Network,career_network
96,What topics are you learning about right now?,Freitext,,Learning,Topics,learning_topics
97,How do you prefer to learn—reading, videos, hands-on?,Freitext,,Learning,Style,learning_style
98,Are you taking any courses or programs?,Freitext,,Learning,Courses,learning_courses
99,What sparks your curiosity?,Freitext,,Learning,Curiosity,learning_curiosity
100,What's a skill or knowledge area you're proud of?,Freitext,,Learning,Knowledge,learning_knowledge
101,Where do you get your creative ideas?,Freitext,,Creativity,Ideas,creativity_ideas
102,What inspires you creatively?,Freitext,,Creativity,Inspiration,creativity_inspiration
103,How do you express your creativity?,Freitext,,Creativity,Expression,creativity_expression
104,Do you enjoy making or building things?,Freitext,,Creativity,Making,creativity_making
105,What aesthetics appeal to you most?,Freitext,,Creativity,Aesthetics,creativity_aesthetics
106,What tools do you use to stay productive?,Freitext,,Productivity,Tools,productivity_tools
107,How do you maintain focus?,Freitext,,Productivity,Focus,productivity_focus
108,How do you manage your time?,Freitext,,Productivity,Time,productivity_time
109,Do you follow any productivity systems?,Freitext,,Productivity,Systems,productivity_systems
110,When do you feel most in flow?,Freitext,,Productivity,Flow,productivity_flow
111,What devices do you use daily?,Freitext,,Technology,Devices,technology_devices
112,What's your favorite software or app?,Freitext,,Technology,Software,technology_software
113,How do you use AI in your daily life?,Freitext,,Technology,AI,technology_ai
114,Do you automate any tasks?,Freitext,,Technology,Automation,technology_automation
115,What tech innovation excites you most?,Freitext,,Technology,Innovation,technology_innovation
116,What design style appeals to you?,Freitext,,Design,Visuals,design_visuals
117,How would you describe your ideal interior space?,Freitext,,Design,Interior,design_interior
118,What makes a great user experience for you?,Freitext,,Design,UX,design_ux
119,Do you appreciate architecture?,Freitext,,Design,Architecture,design_architecture
120,Are you drawn to minimalist design?,Freitext,,Design,Minimalism,design_minimalism
121,What music genres do you listen to?,Freitext,,Music,Genres,music_genres
122,Who are your favorite artists or bands?,Freitext,,Music,Artists,music_artists
123,Do you have curated playlists?,Freitext,,Music,Playlists,music_playlists
124,Do you play any instruments?,Freitext,,Music,Instruments,music_instruments
125,Have you been to any memorable concerts?,Freitext,,Music,Concerts,music_concerts
126,What movie genres do you enjoy?,Freitext,,Movies,Genres,movies_genres
127,Who are your favorite directors?,Freitext,,Movies,Directors,movies_directors
128,What's your all-time favorite film?,Freitext,,Movies,Favorites,movies_favorites
129,Do you binge-watch TV series?,Freitext,,Movies,Series,movies_series
130,What streaming service do you use most?,Freitext,,Movies,Streaming,movies_streaming
131,What book genres do you enjoy?,Freitext,,Books,Genres,books_genres
132,Who are your favorite authors?,Freitext,,Books,Authors,books_authors
133,What's a book that changed your perspective?,Freitext,,Books,Favorites,books_favorites
134,Do you read for learning or pleasure?,Freitext,,Books,Learning,books_learning
135,Do you prefer fiction or non-fiction?,Freitext,,Books,Fiction,books_fiction
136,What podcasts do you listen to?,Freitext,,Media,Podcasts,media_podcasts
137,How do you stay informed about news?,Freitext,,Media,News,media_news
138,What social media platforms do you use?,Freitext,,Media,Social,media_social
139,Do you read any magazines or blogs?,Freitext,,Media,Magazines,media_magazines
140,Who influences your thinking?,Freitext,,Media,Influences,media_influences
141,What type of visual art appeals to you?,Freitext,,Art,Visual,art_visual
142,Do you like modern or classical art?,Freitext,,Art,Modern,art_modern
143,Are you into photography?,Freitext,,Art,Photography,art_photography
144,Have you visited any art exhibitions recently?,Freitext,,Art,Exhibitions,art_exhibitions
145,How do you express yourself artistically?,Freitext,,Art,Expression,art_expression
146,What's your dream travel destination?,Freitext,,Travel,Destinations,travel_destinations
147,What cultures fascinate you?,Freitext,,Travel,Culture,travel_culture
148,What's your most memorable travel experience?,Freitext,,Travel,Experiences,travel_experiences
149,What's on your travel bucket list?,Freitext,,Travel,Bucketlist,travel_bucketlist
150,What travel memory stands out most?,Freitext,,Travel,Memories,travel_memories
151,Where do you live?,Freitext,,Home,Location,home_location
152,How would you describe your home interior?,Freitext,,Home,Interior,home_interior
153,What makes you feel comfortable at home?,Freitext,,Home,Comfort,home_comfort
154,Do you have any home rituals?,Freitext,,Home,Rituals,home_rituals
155,What atmosphere do you create at home?,Freitext,,Home,Atmosphere,home_atmosphere
156,What type of housing do you prefer?,Freitext,,Living,Housing,living_housing
157,What do you value in a neighborhood?,Freitext,,Living,Neighborhood,living_neighborhood
158,How would you describe your lifestyle?,Freitext,,Living,Lifestyle,living_lifestyle
159,How conscious are you about energy use at home?,Freitext,,Living,Energy,living_energy
160,Do you embrace minimalism in your living space?,Freitext,,Living,Minimalism,living_minimalism
161,How often do you spend time outdoors?,Freitext,,Nature,Outdoor,nature_outdoor
162,What type of climate do you prefer?,Freitext,,Nature,Climate,nature_climate
163,Do you have any plants at home?,Freitext,,Nature,Plants,nature_plants
164,What's your favorite animal?,Freitext,,Nature,Animals,nature_animals
165,How connected do you feel to nature?,Freitext,,Nature,Connection,nature_connection
166,How mindful are you about consumption?,Freitext,,Sustainability,Consumption,sustainability_consumption
167,How do you reduce waste?,Freitext,,Sustainability,Waste,sustainability_waste
168,Do you consider energy efficiency?,Freitext,,Sustainability,Energy,sustainability_energy
169,How sustainable are your food choices?,Freitext,,Sustainability,Food,sustainability_food
170,How aware are you of environmental issues?,Freitext,,Sustainability,Awareness,sustainability_awareness
171,Do you have a partner?,Freitext,,Family,Partner,family_partner
172,Do you have children?,Freitext,,Family,Children,family_children
173,How close are you with your parents?,Freitext,,Family,Parents,family_parents
174,What family traditions do you cherish?,Freitext,,Family,Traditions,family_traditions
175,How does your family support you?,Freitext,,Family,Support,family_support
176,How would you describe your circle of friends?,Freitext,,Friends,Circle,friends_circle
177,What do you value most in friendships?,Freitext,,Friends,Trust,friends_trust
178,What activities do you do with friends?,Freitext,,Friends,Activities,friends_activities
179,What's your favorite memory with friends?,Freitext,,Friends,Memories,friends_memories
180,How loyal are you to your friends?,Freitext,,Friends,Loyalty,friends_loyalty
181,Are you involved in your local community?,Freitext,,Community,Local,community_local
182,Do you participate in online communities?,Freitext,,Community,Online,community_online
183,What shared values connect you to communities?,Freitext,,Community,SharedValues,community_sharedvalues
184,How do you contribute to your community?,Freitext,,Community,Contribution,community_contribution
185,Do you attend community events?,Freitext,,Community,Events,community_events
186,Do you have any pets?,Freitext,,Pets,Species,pets_species
187,What's your daily routine with your pet?,Freitext,,Pets,Routine,pets_routine
188,How do you care for your pet?,Freitext,,Pets,Care,pets_care
189,What's your pet's personality like?,Freitext,,Pets,Behavior,pets_behavior
190,How strong is your bond with your pet?,Freitext,,Pets,Bond,pets_bond
191,What does your daily routine look like?,Freitext,,Lifestyle,Routine,lifestyle_routine
192,What lifestyle choices define you?,Freitext,,Lifestyle,Choices,lifestyle_choices
193,How would you describe your life attitude?,Freitext,,Lifestyle,Attitude,lifestyle_attitude
194,How do you balance different areas of your life?,Freitext,,Lifestyle,Balance,lifestyle_balance
195,What aesthetic defines your lifestyle?,Freitext,,Lifestyle,Aesthetics,lifestyle_aesthetics
196,What are your shopping preferences?,Freitext,,Shopping,Preferences,shopping_preferences
197,What shopping habits do you have?,Freitext,,Shopping,Habits,shopping_habits
198,How do you approach budgeting?,Freitext,,Shopping,Budget,shopping_budget
199,Do you prefer online or in-store shopping?,Freitext,,Shopping,Online,shopping_online
200,How do you discover new products?,Freitext,,Shopping,Discovery,shopping_discovery
201,What are your favorite brands?,Freitext,,Brands,Favorites,brands_favorites
202,What brands do you trust?,Freitext,,Brands,Trust,brands_trust
203,Are you loyal to specific brands?,Freitext,,Brands,Loyalty,brands_loyalty
204,What brand image resonates with you?,Freitext,,Brands,Image,brands_image
205,What makes a great brand experience for you?,Freitext,,Brands,Experience,brands_experience
206,What products do you use regularly?,Freitext,,Consumption,Products,consumption_products
207,How much media do you consume daily?,Freitext,,Consumption,Media,consumption_media
208,How mindful are you about food consumption?,Freitext,,Consumption,Food,consumption_food
209,How do you consume fashion?,Freitext,,Consumption,Fashion,consumption_fashion
210,How do you consume technology?,Freitext,,Consumption,Tech,consumption_tech
211,How would you describe your current mood?,Freitext,,Emotions,Mood,emotions_mood
212,What triggers strong emotions in you?,Freitext,,Emotions,Triggers,emotions_triggers
213,How do you express your emotions?,Freitext,,Emotions,Expression,emotions_expression
214,How do you regulate difficult emotions?,Freitext,,Emotions,Regulation,emotions_regulation
215,How empathetic do you consider yourself?,Freitext,,Emotions,Empathy,emotions_empathy
216,What are your short-term goals?,Freitext,,Goals,ShortTerm,goals_shortterm
217,What are your long-term goals?,Freitext,,Goals,LongTerm,goals_longterm
218,What personal goals are you working on?,Freitext,,Goals,Personal,goals_personal
219,What professional goals drive you?,Freitext,,Goals,Professional,goals_professional
220,What fitness goals are you pursuing?,Freitext,,Goals,Fitness,goals_fitness
221,What's your current situation?,Freitext,,Context,Situation,context_situation
222,What environment are you in right now?,Freitext,,Context,Environment,context_environment
223,What device are you using?,Freitext,,Context,Device,context_device
224,What are you currently doing?,Freitext,,Context,Activity,context_activity
225,How are you interacting with this?,Freitext,,Context,Interaction,context_interaction
226,How do you behave online?,Freitext,,Behavior,Online,behavior_online
227,How do you behave in social situations?,Freitext,,Behavior,Social,behavior_social
228,What drives your purchase behavior?,Freitext,,Behavior,Purchase,behavior_purchase
229,How do you approach learning new things?,Freitext,,Behavior,Learning,behavior_learning
230,How do your health behaviors look?,Freitext,,Behavior,Health,behavior_health
231,What city do you live in?,Freitext,,Location,City,location_city
232,What country are you from?,Freitext,,Location,Country,location_country
233,How much time do you spend at home?,Freitext,,Location,Home,location_home
234,Where do you work?,Freitext,,Location,Work,location_work
235,Where do you like to travel?,Freitext,,Location,Travel,location_travel
236,Are you a morning person?,Freitext,,Time,Morning,time_morning
237,How productive are you in the afternoon?,Freitext,,Time,Afternoon,time_afternoon
238,Do you prefer evenings?,Freitext,,Time,Evening,time_evening
239,How do you spend your weekends?,Freitext,,Time,Weekend,time_weekend
240,What's your favorite season?,Freitext,,Time,Season,time_season
241,Pizza or pasta?,Single Choice,"Pizza, Pasta",Nutrition,Preferences,nutrition_preferences
242,What three dishes or snacks could you always eat?,List,,Nutrition,Preferences,nutrition_preferences
243,Do you have a special eating ritual?,Freitext,,Nutrition,Cooking,nutrition_cooking
244,How often do you eat out?,Single Choice,"Daily, Several times a week, Rarely",Nutrition,EatingOut,nutrition_eatingout
245,How often do you order food online?,Single Choice,"Occasionally, Frequently, Never",Nutrition,EatingOut,nutrition_eatingout
246,Do you drink alcohol?,Single Choice,"Yes, Occasionally, No",Nutrition,Diet,nutrition_diet
247,Mountain or beach?,Single Choice,"Mountain, Beach",Travel,Destinations,travel_destinations
248,How do you plan your vacations?,Single Choice,"Spontaneously, In advance, Mixed",Travel,Experiences,travel_experiences
249,Do you prefer traveling alone or with others?,Single Choice,"Alone, With partner, With friends, With family",Travel,Experiences,travel_experiences
250,Which language would you like to learn?,Freitext,,Learning,Topics,learning_topics
251,Build or rent a house?,Single Choice,"Build, Rent",Living,Housing,living_housing
252,City or countryside?,Single Choice,"City, Countryside",Living,Neighborhood,living_neighborhood
253,Are you more night owl or early bird?,Single Choice,"Night owl, Early bird",Habits,Morning,habits_morning
254,What accompanies you almost every day?,Freitext,,Habits,Health,habits_health
255,How would you describe your communication style?,Freitext,,Personality,Behavior,personality_behavior
256,How open are you to new things?,Scale,"1, 2, 3, 4, 5",Mindset,Curiosity,mindset_curiosity
257,Which value is most important in your life?,Single Choice,"Freedom, Family, Success, Creativity, Security",Values,Priorities,values_priorities
258,How would you classify yourself socially?,Single Choice,"Extroverted, Introverted, Balanced",Personality,Behavior,personality_behavior
259,How do you feel about technology?,Single Choice,"Enthusiastic, Neutral, Skeptical",Technology,Innovation,technology_innovation
260,What weather makes you happiest?,Freitext,,Nature,Climate,nature_climate
261,What immediately puts you in a good mood?,Freitext,,Emotions,Triggers,emotions_triggers
262,Do you train alone or in a group?,Single Choice,"Alone, Group, Depends",Fitness,Training,fitness_training
263,Do you prefer indoor or outdoor training?,Single Choice,"Indoor, Outdoor",Fitness,Training,fitness_training
264,How do you measure your fitness or progress?,Single Choice,"Apps, Feeling, Numbers, Not at all",Fitness,Training,fitness_training
265,Do you use fitness or tracking apps regularly?,Either / Or,"Yes, No",Technology,Software,technology_software
266,How often do you use social media per day?,Single Choice,"Rarely, Several times, Constantly",Media,Social,media_social
267,How do you deal with screen time?,Single Choice,"Consciously limit, Don't think about it, No limits",Technology,Devices,technology_devices
268,How important is data privacy to you with digital services?,Scale,"1, 2, 3, 4, 5",Technology,Innovation,technology_innovation
269,How do you learn best?,Single Choice,"Reading, Videos, Hands-on, Listening",Learning,Style,learning_style
270,Are you more self-taught or structure-oriented?,Single Choice,"Self-taught, Structured, Mix",Learning,Style,learning_style
271,What skill would you like to learn next?,Freitext,,Learning,Topics,learning_topics
272,How do you define professional success for yourself?,Freitext,,Career,Goals,career_goals
273,Do you work better in a team or alone?,Single Choice,"Team, Alone, Situational",Work,Collaboration,work_collaboration
274,How do you deal with stress?,Single Choice,"Exercise, Talk, Avoid, Stay calm",Health,Stress,health_stress
275,How do you plan your day?,Single Choice,"Flexible, Spontaneous, Structured",Productivity,Time,productivity_time
276,Are you more planner or improviser?,Single Choice,"Planner, Improviser, Both",Personality,Behavior,personality_behavior
277,How important is sustainability in your daily life?,Scale,"1, 2, 3, 4, 5",Sustainability,Awareness,sustainability_awareness
278,Do you shop locally or online?,Single Choice,"Mix, Local, Online",Shopping,Preferences,shopping_preferences
279,Do you focus on brands or price when shopping?,Single Choice,"Mix, Brand, Price",Shopping,Habits,shopping_habits
280,How much do reviews influence your purchase decisions?,Scale,"1, 2, 3, 4, 5",Behavior,Purchase,behavior_purchase
281,What role does fashion play in your daily life?,Single Choice,"Important, Medium, Unimportant",Fashion,Style,fashion_style
282,How important is physical health to you?,Scale,"1, 2, 3, 4, 5",Health,Physical,health_physical
283,Do you consciously pay attention to nutrition?,Single Choice,"Hardly, Partially, Very much",Nutrition,Diet,nutrition_diet
284,How often do you meditate or consciously reflect?,Single Choice,"Daily, Occasionally, Rarely",Recovery,Mindfulness,recovery_mindfulness
285,How would you describe your energy level in daily life?,Single Choice,"Balanced, High, Low",Health,Energy,health_energy
286,How do you deal with changes?,Single Choice,"Open, Hesitant, Depends",Mindset,Resilience,mindset_resilience
287,What quality do others appreciate most about you?,Freitext,,Personality,Strengths,personality_strengths
288,What would you like to improve about yourself?,Freitext,,Personality,Weaknesses,personality_weaknesses
289,How do you react when plans don't work out?,Single Choice,"Replan, Frustrated, Calm",Mindset,Resilience,mindset_resilience
290,What gives you a feeling of security?,Freitext,,Emotions,Triggers,emotions_triggers
291,What role does friendship play in your life?,Scale,"1, 2, 3, 4, 5",Friends,Trust,friends_trust
292,How do you maintain relationships with family and friends?,Freitext,,Friends,Activities,friends_activities
293,What is your biggest dream or life goal?,Freitext,,Goals,LongTerm,goals_longterm
294,How do you imagine your life in 10 years?,Freitext,,Goals,LongTerm,goals_longterm
295,What does a good life mean to you?,Freitext,,Values,Purpose,values_purpose
296,How often do you use AI tools in daily life?,Single Choice,"Daily, Occasionally, Never",Technology,AI,technology_ai
297,For what tasks do you use AI most?,Freitext,,Technology,AI,technology_ai
298,What do you think about smart home devices?,Single Choice,"Enthusiastic, Neutral, Skeptical",Technology,Automation,technology_automation
299,"Do you have wearables (e.g., smartwatch, fitness tracker)?",Either / Or,"Yes, No",Technology,Devices,technology_devices
300,How much do you trust digital assistants?,Scale,"1, 2, 3, 4, 5",Technology,AI,technology_ai
301,How often do you take digital breaks (digital detox)?,Single Choice,"Daily, Weekly, Rarely",Technology,Devices,technology_devices
302,How do you organize your tasks?,Single Choice,"Apps, Lists, Mental notes, No system",Productivity,Systems,productivity_systems
303,What motivates you most to get up in the morning?,Freitext,,Personality,Motivation,personality_motivation
304,What sounds make you happy?,Freitext,,Emotions,Triggers,emotions_triggers
305,How do you deal with boredom?,Single Choice,"Go outside, Get creative, Distraction, Just wait",Emotions,Regulation,emotions_regulation
306,How important is sleep quality to you?,Scale,"1, 2, 3, 4, 5",Health,Sleep,health_sleep
307,How long do you sleep on average per night?,Single Choice,"<6h, 6-8h, >8h",Health,Sleep,health_sleep
308,Do you like to cook yourself?,Either / Or,"Yes, No",Nutrition,Cooking,nutrition_cooking
309,Do you smoke or vape?,Either / Or,"Yes, No",Health,Physical,health_physical
310,How often do you go to the doctor for checkups?,Single Choice,"Regularly, When needed, Rarely",Health,Physical,health_physical
311,Do you pay attention to mental health?,Scale,"1, 2, 3, 4, 5",Health,Mental,health_mental
312,How do you react to criticism?,Single Choice,"Discuss, Hurt, Calm",Personality,Behavior,personality_behavior
313,How do you make decisions on important topics?,Single Choice,"Mix, Intuitively, Rationally",Personality,Behavior,personality_behavior
314,What gives you a feeling of freedom?,Freitext,,Emotions,Triggers,emotions_triggers
315,How important is self-determination to you?,Scale,"1, 2, 3, 4, 5",Values,Priorities,values_priorities
316,How would you assess your willingness to take risks?,Scale,"1, 2, 3, 4, 5",Personality,Behavior,personality_behavior
317,How do you deal with failures?,Freitext,,Mindset,Resilience,mindset_resilience
318,How important is humor in life?,Scale,"1, 2, 3, 4, 5",Personality,Traits,personality_traits
319,Which film describes your humor best?,Freitext,,Movies,Favorites,movies_favorites
320,Which series would you recommend to everyone?,Freitext,,Movies,Series,movies_series
321,How do you discover new music or artists?,Single Choice,"Algorithms, Recommendations, Friends, Chance",Music,Artists,music_artists
322,Do you like to attend concerts or festivals?,Either / Or,"Yes, No",Music,Concerts,music_concerts
323,How often do you read books or magazines?,Single Choice,"Daily, Weekly, Rarely",Books,Genres,books_genres
324,Do you have a favorite podcast?,Freitext,,Media,Podcasts,media_podcasts
325,How often do you use streaming services per week?,Single Choice,"Daily, Several times, Rarely",Movies,Streaming,movies_streaming
326,Which social media platform do you use most?,Single Choice,"Instagram, Facebook, LinkedIn, X, TikTok",Media,Social,media_social
327,Do you prefer news or infotainment formats?,Single Choice,"News, Podcast, Documentary, Clips",Media,News,media_news
328,How much do online trends influence you?,Scale,"1, 2, 3, 4, 5",Media,Social,media_social
329,Which season inspires you creatively most?,Freitext,,Creativity,Inspiration,creativity_inspiration
330,How would you describe your creative style?,Freitext,,Creativity,Expression,creativity_expression
331,What project would you like to realize someday?,Freitext,,Creativity,Making,creativity_making
332,What hobbies did you have as a child?,Freitext,,Identity,Background,identity_background
333,What childhood memory makes you happy?,Freitext,,Identity,Background,identity_background
334,How important is family to you?,Scale,"1, 2, 3, 4, 5",Family,Support,family_support
335,How often do you meet close friends?,Single Choice,"Daily, Weekly, Monthly, Rarely",Friends,Activities,friends_activities
336,How do you meet new people?,Single Choice,"Events, Online, Through friends, Spontaneously",Friends,Circle,friends_circle
337,How do you deal with conflicts?,Single Choice,"Talk openly, Withdraw, Compromise",Behavior,Social,behavior_social
338,What does trust mean to you?,Freitext,,Values,Ethics,values_ethics
339,What is your biggest learning from relationships?,Freitext,,Friends,Trust,friends_trust
340,How do you deal with loneliness?,Freitext,,Emotions,Regulation,emotions_regulation
341,How would you describe your humor?,Freitext,,Personality,Traits,personality_traits
342,Which app could you not delete?,Freitext,,Technology,Software,technology_software
343,How important is design in digital products?,Scale,"1, 2, 3, 4, 5",Design,UX,design_ux
344,How do you deal with notifications?,Single Choice,"Organized, Always on, Deactivated",Technology,Devices,technology_devices
345,Do you use dark or light mode?,Single Choice,"Dark, Light, Auto",Technology,Software,technology_software
346,How important is privacy on the internet?,Scale,"1, 2, 3, 4, 5",Technology,Innovation,technology_innovation
347,Do you read terms and conditions or privacy policies?,Single Choice,"Yes, Sometimes, Never",Technology,Innovation,technology_innovation
348,How do you react to online advertising?,Single Choice,"Interested, Click often, Ignore",Media,Social,media_social
349,Do you support small brands or large companies?,Single Choice,"Both, Small brands, Large companies",Brands,Loyalty,brands_loyalty
350,Do you pay with cash or digitally?,Single Choice,"Mix, Cash, Digital",Shopping,Habits,shopping_habits
351,How do you deal with money?,Single Choice,"Balanced, Frugal, Enjoyment-oriented",Shopping,Budget,shopping_budget
352,Do you save regularly?,Either / Or,"Yes, No",Shopping,Budget,shopping_budget
353,What small things make your home 'yours'?,Freitext,,Home,Interior,home_interior
354,What smells give you a sense of security?,Freitext,,Home,Atmosphere,home_atmosphere
355,What activity makes you lose track of time?,Freitext,,Productivity,Flow,productivity_flow
