Nr.,Question,Answer Type,Answer Options,Main Category,SubCategory,SubCategory Key
66,How do you take care of your physical health?,Freitext,,Health,Physical,health_physical
67,What do you do to support your mental health?,Freitext,,Health,Mental,health_mental
68,How many hours of sleep do you typically get?,Freitext,,Health,Sleep,health_sleep
69,How do you manage stress?,Freitext,,Health,Stress,health_stress
70,What gives you energy throughout the day?,Freitext,,Health,Energy,health_energy
71,What type of training or exercise do you do?,Freitext,,Fitness,Training,fitness_training
72,Do you incorporate stretching or mobility work?,Freitext,,Fitness,Mobility,fitness_mobility
73,How do you recover after a workout?,Freitext,,Fitness,Recovery,fitness_recovery
74,Are you working on building endurance?,Freitext,,Fitness,Endurance,fitness_endurance
75,Do you focus on strength training?,Freitext,,Fitness,Strength,fitness_strength
76,Do you enjoy running or jogging?,Freitext,,Sports,Running,sports_running
77,Have you ever played team sports?,Freitext,,Sports,TeamSports,sports_teamsports
78,What's your favorite outdoor activity?,Freitext,,Sports,Outdoor,sports_outdoor
79,Do you enjoy water sports like swimming or surfing?,Freitext,,Sports,Water,sports_water
80,Have you tried any adventure sports?,Freitext,,Sports,Adventure,sports_adventure
81,How do you prioritize sleep?,Freitext,,Recovery,Sleep,recovery_sleep
82,What helps you relax after a long day?,Freitext,,Recovery,Relaxation,recovery_relaxation
83,Do you practice mindfulness or meditation?,Freitext,,Recovery,Mindfulness,recovery_mindfulness
84,How do you take care of your body?,Freitext,,Recovery,BodyCare,recovery_bodycare
85,How do you maintain work-life balance?,Freitext,,Recovery,Balance,recovery_balance
86,What's your current role or job?,Freitext,,Work,Role,work_role
87,What kind of work environment do you thrive in?,Freitext,,Work,Environment,work_environment
88,Do you prefer working alone or collaborating with others?,Freitext,,Work,Collaboration,work_collaboration
89,What motivates you at work?,Freitext,,Work,Motivation,work_motivation
90,What type of projects do you enjoy most?,Freitext,,Work,Projects,work_projects
91,What's your career path or goal?,Freitext,,Career,Path,career_path
92,What skills are you developing right now?,Freitext,,Career,Skills,career_skills
93,Where do you want to be in five years?,Freitext,,Career,Goals,career_goals
94,What's your biggest professional achievement?,Freitext,,Career,Achievements,career_achievements
95,How do you build your professional network?,Freitext,,Career,Network,career_network
96,What topics are you learning about right now?,Freitext,,Learning,Topics,learning_topics
97,How do you prefer to learn—reading, videos, hands-on?,Freitext,,Learning,Style,learning_style
98,Are you taking any courses or programs?,Freitext,,Learning,Courses,learning_courses
99,What sparks your curiosity?,Freitext,,Learning,Curiosity,learning_curiosity
100,What's a skill or knowledge area you're proud of?,Freitext,,Learning,Knowledge,learning_knowledge
101,Where do you get your creative ideas?,Freitext,,Creativity,Ideas,creativity_ideas
102,What inspires you creatively?,Freitext,,Creativity,Inspiration,creativity_inspiration
103,How do you express your creativity?,Freitext,,Creativity,Expression,creativity_expression
104,Do you enjoy making or building things?,Freitext,,Creativity,Making,creativity_making
105,What aesthetics appeal to you most?,Freitext,,Creativity,Aesthetics,creativity_aesthetics
106,What tools do you use to stay productive?,Freitext,,Productivity,Tools,productivity_tools
107,How do you maintain focus?,Freitext,,Productivity,Focus,productivity_focus
108,How do you manage your time?,Freitext,,Productivity,Time,productivity_time
109,Do you follow any productivity systems?,Freitext,,Productivity,Systems,productivity_systems
110,When do you feel most in flow?,Freitext,,Productivity,Flow,productivity_flow
111,What devices do you use daily?,Freitext,,Technology,Devices,technology_devices
112,What's your favorite software or app?,Freitext,,Technology,Software,technology_software
113,How do you use AI in your daily life?,Freitext,,Technology,AI,technology_ai
114,Do you automate any tasks?,Freitext,,Technology,Automation,technology_automation
115,What tech innovation excites you most?,Freitext,,Technology,Innovation,technology_innovation
116,What design style appeals to you?,Freitext,,Design,Visuals,design_visuals
117,How would you describe your ideal interior space?,Freitext,,Design,Interior,design_interior
118,What makes a great user experience for you?,Freitext,,Design,UX,design_ux
119,Do you appreciate architecture?,Freitext,,Design,Architecture,design_architecture
120,Are you drawn to minimalist design?,Freitext,,Design,Minimalism,design_minimalism
121,What music genres do you listen to?,Freitext,,Music,Genres,music_genres
122,Who are your favorite artists or bands?,Freitext,,Music,Artists,music_artists
123,Do you have curated playlists?,Freitext,,Music,Playlists,music_playlists
124,Do you play any instruments?,Freitext,,Music,Instruments,music_instruments
125,Have you been to any memorable concerts?,Freitext,,Music,Concerts,music_concerts
126,What movie genres do you enjoy?,Freitext,,Movies,Genres,movies_genres
127,Who are your favorite directors?,Freitext,,Movies,Directors,movies_directors
128,What's your all-time favorite film?,Freitext,,Movies,Favorites,movies_favorites
129,Do you binge-watch TV series?,Freitext,,Movies,Series,movies_series
130,What streaming service do you use most?,Freitext,,Movies,Streaming,movies_streaming
131,What book genres do you enjoy?,Freitext,,Books,Genres,books_genres
132,Who are your favorite authors?,Freitext,,Books,Authors,books_authors
133,What's a book that changed your perspective?,Freitext,,Books,Favorites,books_favorites
134,Do you read for learning or pleasure?,Freitext,,Books,Learning,books_learning
135,Do you prefer fiction or non-fiction?,Freitext,,Books,Fiction,books_fiction
136,What podcasts do you listen to?,Freitext,,Media,Podcasts,media_podcasts
137,How do you stay informed about news?,Freitext,,Media,News,media_news
138,What social media platforms do you use?,Freitext,,Media,Social,media_social
139,Do you read any magazines or blogs?,Freitext,,Media,Magazines,media_magazines
140,Who influences your thinking?,Freitext,,Media,Influences,media_influences
141,What type of visual art appeals to you?,Freitext,,Art,Visual,art_visual
142,Do you like modern or classical art?,Freitext,,Art,Modern,art_modern
143,Are you into photography?,Freitext,,Art,Photography,art_photography
144,Have you visited any art exhibitions recently?,Freitext,,Art,Exhibitions,art_exhibitions
145,How do you express yourself artistically?,Freitext,,Art,Expression,art_expression
146,What's your dream travel destination?,Freitext,,Travel,Destinations,travel_destinations
147,What cultures fascinate you?,Freitext,,Travel,Culture,travel_culture
148,What's your most memorable travel experience?,Freitext,,Travel,Experiences,travel_experiences
149,What's on your travel bucket list?,Freitext,,Travel,Bucketlist,travel_bucketlist
150,What travel memory stands out most?,Freitext,,Travel,Memories,travel_memories
151,Where do you live?,Freitext,,Home,Location,home_location
152,How would you describe your home interior?,Freitext,,Home,Interior,home_interior
153,What makes you feel comfortable at home?,Freitext,,Home,Comfort,home_comfort
154,Do you have any home rituals?,Freitext,,Home,Rituals,home_rituals
155,What atmosphere do you create at home?,Freitext,,Home,Atmosphere,home_atmosphere
156,What type of housing do you prefer?,Freitext,,Living,Housing,living_housing
157,What do you value in a neighborhood?,Freitext,,Living,Neighborhood,living_neighborhood
158,How would you describe your lifestyle?,Freitext,,Living,Lifestyle,living_lifestyle
159,How conscious are you about energy use at home?,Freitext,,Living,Energy,living_energy
160,Do you embrace minimalism in your living space?,Freitext,,Living,Minimalism,living_minimalism
161,How often do you spend time outdoors?,Freitext,,Nature,Outdoor,nature_outdoor
162,What type of climate do you prefer?,Freitext,,Nature,Climate,nature_climate
163,Do you have any plants at home?,Freitext,,Nature,Plants,nature_plants
164,What's your favorite animal?,Freitext,,Nature,Animals,nature_animals
165,How connected do you feel to nature?,Freitext,,Nature,Connection,nature_connection
166,How mindful are you about consumption?,Freitext,,Sustainability,Consumption,sustainability_consumption
167,How do you reduce waste?,Freitext,,Sustainability,Waste,sustainability_waste
168,Do you consider energy efficiency?,Freitext,,Sustainability,Energy,sustainability_energy
169,How sustainable are your food choices?,Freitext,,Sustainability,Food,sustainability_food
170,How aware are you of environmental issues?,Freitext,,Sustainability,Awareness,sustainability_awareness
171,Do you have a partner?,Freitext,,Family,Partner,family_partner
172,Do you have children?,Freitext,,Family,Children,family_children
173,How close are you with your parents?,Freitext,,Family,Parents,family_parents
174,What family traditions do you cherish?,Freitext,,Family,Traditions,family_traditions
175,How does your family support you?,Freitext,,Family,Support,family_support
176,How would you describe your circle of friends?,Freitext,,Friends,Circle,friends_circle
177,What do you value most in friendships?,Freitext,,Friends,Trust,friends_trust
178,What activities do you do with friends?,Freitext,,Friends,Activities,friends_activities
179,What's your favorite memory with friends?,Freitext,,Friends,Memories,friends_memories
180,How loyal are you to your friends?,Freitext,,Friends,Loyalty,friends_loyalty
181,Are you involved in your local community?,Freitext,,Community,Local,community_local
182,Do you participate in online communities?,Freitext,,Community,Online,community_online
183,What shared values connect you to communities?,Freitext,,Community,SharedValues,community_sharedvalues
184,How do you contribute to your community?,Freitext,,Community,Contribution,community_contribution
185,Do you attend community events?,Freitext,,Community,Events,community_events
186,Do you have any pets?,Freitext,,Pets,Species,pets_species
187,What's your daily routine with your pet?,Freitext,,Pets,Routine,pets_routine
188,How do you care for your pet?,Freitext,,Pets,Care,pets_care
189,What's your pet's personality like?,Freitext,,Pets,Behavior,pets_behavior
190,How strong is your bond with your pet?,Freitext,,Pets,Bond,pets_bond
191,What does your daily routine look like?,Freitext,,Lifestyle,Routine,lifestyle_routine
192,What lifestyle choices define you?,Freitext,,Lifestyle,Choices,lifestyle_choices
193,How would you describe your life attitude?,Freitext,,Lifestyle,Attitude,lifestyle_attitude
194,How do you balance different areas of your life?,Freitext,,Lifestyle,Balance,lifestyle_balance
195,What aesthetic defines your lifestyle?,Freitext,,Lifestyle,Aesthetics,lifestyle_aesthetics
196,What are your shopping preferences?,Freitext,,Shopping,Preferences,shopping_preferences
197,What shopping habits do you have?,Freitext,,Shopping,Habits,shopping_habits
198,How do you approach budgeting?,Freitext,,Shopping,Budget,shopping_budget
199,Do you prefer online or in-store shopping?,Freitext,,Shopping,Online,shopping_online
200,How do you discover new products?,Freitext,,Shopping,Discovery,shopping_discovery
201,What are your favorite brands?,Freitext,,Brands,Favorites,brands_favorites
202,What brands do you trust?,Freitext,,Brands,Trust,brands_trust
203,Are you loyal to specific brands?,Freitext,,Brands,Loyalty,brands_loyalty
204,What brand image resonates with you?,Freitext,,Brands,Image,brands_image
205,What makes a great brand experience for you?,Freitext,,Brands,Experience,brands_experience
206,What products do you use regularly?,Freitext,,Consumption,Products,consumption_products
207,How much media do you consume daily?,Freitext,,Consumption,Media,consumption_media
208,How mindful are you about food consumption?,Freitext,,Consumption,Food,consumption_food
209,How do you consume fashion?,Freitext,,Consumption,Fashion,consumption_fashion
210,How do you consume technology?,Freitext,,Consumption,Tech,consumption_tech
211,How would you describe your current mood?,Freitext,,Emotions,Mood,emotions_mood
212,What triggers strong emotions in you?,Freitext,,Emotions,Triggers,emotions_triggers
213,How do you express your emotions?,Freitext,,Emotions,Expression,emotions_expression
214,How do you regulate difficult emotions?,Freitext,,Emotions,Regulation,emotions_regulation
215,How empathetic do you consider yourself?,Freitext,,Emotions,Empathy,emotions_empathy
216,What are your short-term goals?,Freitext,,Goals,ShortTerm,goals_shortterm
217,What are your long-term goals?,Freitext,,Goals,LongTerm,goals_longterm
218,What personal goals are you working on?,Freitext,,Goals,Personal,goals_personal
219,What professional goals drive you?,Freitext,,Goals,Professional,goals_professional
220,What fitness goals are you pursuing?,Freitext,,Goals,Fitness,goals_fitness
221,What's your current situation?,Freitext,,Context,Situation,context_situation
222,What environment are you in right now?,Freitext,,Context,Environment,context_environment
223,What device are you using?,Freitext,,Context,Device,context_device
224,What are you currently doing?,Freitext,,Context,Activity,context_activity
225,How are you interacting with this?,Freitext,,Context,Interaction,context_interaction
226,How do you behave online?,Freitext,,Behavior,Online,behavior_online
227,How do you behave in social situations?,Freitext,,Behavior,Social,behavior_social
228,What drives your purchase behavior?,Freitext,,Behavior,Purchase,behavior_purchase
229,How do you approach learning new things?,Freitext,,Behavior,Learning,behavior_learning
230,How do your health behaviors look?,Freitext,,Behavior,Health,behavior_health
231,What city do you live in?,Freitext,,Location,City,location_city
232,What country are you from?,Freitext,,Location,Country,location_country
233,How much time do you spend at home?,Freitext,,Location,Home,location_home
234,Where do you work?,Freitext,,Location,Work,location_work
235,Where do you like to travel?,Freitext,,Location,Travel,location_travel
236,Are you a morning person?,Freitext,,Time,Morning,time_morning
237,How productive are you in the afternoon?,Freitext,,Time,Afternoon,time_afternoon
238,Do you prefer evenings?,Freitext,,Time,Evening,time_evening
239,How do you spend your weekends?,Freitext,,Time,Weekend,time_weekend
240,What's your favorite season?,Freitext,,Time,Season,time_season
