number,question,answer
38,"Gibt es ein Reiseziel, das dich enttauscht hat - und warum?","Ehrlicherweise nic’ ” wirklich. Obwohl ich letzte Woche in der Turkei war, war ich am Buxt fahren mit den Eltern meiner Frau. Die Tage auf dom See waren einer Riichtan tind ca waiter eind eehAn Nie Tiirkai heruntergekommen. Auch die Mentalitat, Miill liberal liegen zu lassen, passt nicht zu mir."
39,"Wenn du eine Woche komplett frei hattest — keine Arbeit, keine Verpflichtungen — wie wiirdest du sie","verbringen? Ab6RVELE Ich wiirde wahrscheinlich trotzdem arbeiten, aber nicht wo ich angestellt bin, sondern an meinem Startup, das ich in naher Zukunft griinden méchte. Wenn ich gar nicht arbeiten dirfte, dann wirde ich wegfliegen, reisen mit meiner Frau o“~* mit dem Auto wegfahren, damit unser Hund auch noch mitkon....en kann. kennenlernen, Natur erleben oder eine Kultur erfahren."
40,"Welches technische Gerat begeistert dich am meisten - einfach, weil es ,magisch"" wirkt?","ObV4LE Nicht weil es magisch wirkt, sondern weil es magisch sein kénnte, begeistert mich tatsachlich mein Handy. Einfach unfassbar, wie sehr man sich daran gewohnt hat, und wie sehr es uns Menschen verandert hat im Verhalten. Worauf ich in Zukunft hoffe, ist etwas zu bekommen wie den Al-Pin von UMain, der leider gefloppt ist. Den ich einfach so mit mir rumtragen kann. Der mein Leben miterlebt und mir so einen Personal Companion zur $V stellen kann, der Dinge, der mich in meinem Leben unterstiitzt."
41,Welches Kleidungsstiick wiirdest du niemals freiwillig tragen?,AGVESE Anzugschuhe
42,Was ist dein Lieblingsfeiertag im Jahr?,"AabgV4E Weihnachten. Was war das beste Essen, das du je gegessen hast? Ahm, schwierig. Wahrscheinlich ein paar mehr. Aber das, was mir in Erinnerung bleibt, was wirklich unfassbar gut war, war das Kobe Steak, das meine Frau und ich in Kobe in Japan tatsachlich gegessen haben. Aber ich hatte noch nie so ein zartes Steak, wo sogar das Fett siiBlich geschmeckt hat. Echt gut."
45,Welche Serie kénntest du aktuell jedem empfehlen?,Fire Country
46,Welche Eigenschaft hast du von einem deiner Elternteile Ubernommen?,"AbV4L8 Vv a Ich bin sehr extrem in meinen Emotionen, kann unfassbar positiv sein, mich fiir viele Dinge faszinieren, und sehr schnell sehr frustriert, enttauscht, vielleicht sogar auch in manchen Teilen depressiv sein. Bei mir gibt es da kein Middle Ground, nicht viel dazwischen, ehrlicherweise. Auch wenn ich es manchmal nicht immer zeige. Und das habe ich definitiv von meiner Mutter ibernommen."
47,Was ist dein Lieblingsplatz in der Natur - egal wo auf der Welt?,Irgendwo oben auf dem Berg.
48,yw,"AbVEs Skrillex, glaube ich."
49,Welche Mahizeit des Tages ist dir am wichtigsten?,AbVEES Abendessen.
50,Welche Farbe dominiert in deinem Kleiderschrank? |,"qgQ“vzarese Die Uni-Farben: Wei8, Schwarz, Grau."
51,Wie sieht dein perfekter Start in den Tag aus?,"AGV4EE Ich mache mir einen Espresso in meiner Siebtragermaschine, genieBe den und dann wahrscheinlich irgendwie Sport machen, zum Beispiel."
52,"Was ist das letzte Foto, das du mit deinem Handy gr pacht hast?",Von meinem schlafenden Hund gestern Abend.
54,"Was ist ein Lied, das dich sofort in gute Laune versetzt?",oe ~ Jedes Lied von Ed Sheeran oder Mackie MicRenzié.
56,Welche Fahigkeit wiirdest du gern sofort perfekt beherrschen?,"AbVLES Jede Art von digitalem Design, einschlieBlich Product Design, UX tone ‘ e. a8"
57,Was ist dein liebster Snack fiir unterwegs?,Kase oder salame?
58,"Welche App wirdest du sofort l6schen, wenn du musstest — ohne sie zu vermissen?",AGVEE mails
59,"Was ist das sch6nste Kompliment, das dir jemand gemacht hat?",AGVESE Wenn mir jemand vertrauen kann.
60,Welche Aktivitat bringt dich am besten auf andere Gedanken? AabV4AE,CrossFit Frane a1 Was wef Udi Lei ysraCrr au! YEE UII UUeT INT Get AUSLIWUNY ~ alls UU ents HALeStr Ehrlicherweise keins.
62,Was ist dein Lieblingsgerausch am Morgen?,AbVLS Radio.
63,Was ist dein Lieblingsort in Hamburg?,An der Alster.
64,Welches Getrank passt fiir dich perfekt zu einem Sommerabend?,Radler
65,Was war dein erster richtiger Job?,"Ob6P4E~ . Ich habe im Sommer in der Schulzeit haufig in einer Fabrik gearbeitet, die so Briefe von Jibo, zum Beispiel, verschickt hat. Dann habe ich da die Briefumstellung ausgetauscht und so weiter."
67,"Welche Art von Urlaub magst du am liebsten — Entspinnung, Abenteuer oder Stadtetrip? AbV4ES","en beteee a8 Alles drei in einem Urlaub, am besten?"
68,Was ist dein Lieblingsrestaurant oder deine Lieblingskiiche?,"ObV4L6 Ich esse gerne mediterranes Essen, tirkisch, griechisch, déner, so in die Richtung. Und ich mag italienisch sehr, sehr gerne. Wenn es echtes italienisches ist, dann esse ich auch mal eine Pasta und Pizza geht immer. Frana aa. was waf'uds fetce ENeUMIS, Uas UIC HiCHug HISpmIere Hat Meine Reise nach Japan im April war super inspirierend. Auch die unterschiedlichen Stadte wie Tokio, Kyoto und Osaka zu sehen, aber vor allem die ganze Kultur kennenzulernen."
70,Wenn du ein Tattoo hattest oder dir eins stechen lassen wiirdest - was ware das Motiv?,"Wahrscheinlich ein Wort, so etwas wie Inspire oder Trust. F Was ist dein Lieblingsfeiertagsritual an Weihnachten? AbV4L6 Wenn ich Weihnachten mit meiner Familie verbringe, dann Raclette essen. Wenn ich es mit meiner Frau und meinem Hund in Garmisch verbringe, dann tagsiiber snowboarden, abends ein schones Buch lesen."
72,Welche Art von Filmen schaust du am liebsten?,AbV4L6 Jstens Action oder irgendeine Crime-Geschichte.
73,"Was ist das Praktischste, das du in letzter Zeit gekauft hast?",H10 Brustband von Polar zur Herzfrequenzmessung beim Laufen
74,"Was war das letzte Gericht, das du selbst gekocht hast? AbGVLEES","Pizza im Steinofen Frone 7e weilnes Rérsezier WUrUESE UU yer ne NUCHINa eleven — ellaLH, UII es Vewusster Zu genmepers OGRV4EE Japan"
76,Was war dein erster Gedanke heute Morgen?,AGVESE Unser Doggo ist echt Sweet
77,"Was ist dein Lieblingsaccessoire, das du fast taglich tragst?",Cap Surfen
79,Was steht aktuell ganz oben auf deiner persénlicher.Y sunschliste?,e tonen . .. a8 Mein eigenes Start-up griinden
80,Was bedeutet fir dich Erfolg?,B Was bewegt zu haben
81,"Was motiviert dich an Tagen, an denen du eigentlich keine Energie hast?","AbVALSs Meine Vision von einer digitalen Welt, die ausgeglichen ist und gleichberechtigt zwischen Menschen und Unternehmen."
82,Wenn du einen Tag komplett ohne Technik verbringen miisstest — wie wiirdest du ihn gestalten?,AabV4tS Ich wiirde ein Buch lesen.
84,"Welche Sportart wirdest du gern mal ausprobieren, hast es aber bisher nicht getan?",AbV4LE Wellenreiten
85,"Was ist das ungewohnlichste Essen, das du je probiert hast? AQbVLE",Austern.
86,Was war dein schénster Moment in diesem Jahr bisher?,"Unseren kleinen Doggo Charlie abzuholen, als er noch ein Welpe war."
87,"Was ist das Nitzlichste, das du richtig gut kannst?","AGVESE PLANANDERUNG | ss uns mehr Fragen wie ""was ist dein Lieblingsessen"" machen rer . -. aw Perfekt — also ganz leicht, alltagstauglich, aber trotzdem mit Charakter. Keine tiefen Lebensfragen, eher Dinge, die man bei einem guten Gesprach so nebenbei erfahrt. Rann aaht's in diesem Stil weiter:"
87,Was ist dein Lieblingsdessert?,AbV4L6 Irgendetwas mit Karamell.
88,Was ist deine Lieblingspizza?,9LE™ 4 Pizza Diavola
89,Was ist dein Lieblingsobst?,ObGV4EES Ananas.
90,Was ist dein Lieblingsgemiise?,OGRE
91,Was ist dein Lieblingsgetrank auBer Cola Zero?,AGVESE Spezi
92,Was ist dein Lieblingssnack fiir den Abend auf der Couch?,AbV4AE Chips.
93,Welche Eissorte bestellst du fast immer?,Stracciatella.
94,Was ist dein Lieblingsgericht aus der Kindheit?,AbV4L8 Raclette. riaue v9: ceed eset a a. AbVLEES McDonald's
96,Welches Friihstiick bestellst du am liebsten im Café?,Bacon and Eier.
102,"Was ist dein Lieblingsgericht, das deine Frau kocht? Ab6RVELE",Selbstgemachte Wraps (aus Dinkelmehl)
103,Was trinkst du am liebsten zu einem guten Essen?,AbGVLEES ‘Spezi.
104,"Was ist dein Lieblingsrestaurant in Hamburg? OGRV4EE Da gibt es ein paar, die ich mag: + Hob's Burger Restaurant in der Europapassage — es hat den besten Burger in der Stadt, den besten Smash Burger, um genau zu sein. + 30 Seconds to Napoli - sehr gute Pizza. + Bon Ami — gutes tiirkisches mediterranes Essen, vor allem die Pide. Das sind erstmal meine Top 3.","Fr Was bestelist du am liebsten, wenn du beim Asiaten essen gehst? AbV4LE Das ist easy! Ente, auf jeden Fall knusprige Ente mit Erdnuss-Saté- SoBe."
106,Was ist dein Lieblingsgetrank im Sommer?,Ich mag Radler ganz gerne. Bevorzuge auf jeden Fall aber auch das alkoholfreie Radle”
107,- of,Was ist dein Lieblingsgetrank im Winter? Flit White finde ich ganz gut oder einen schénen Americano.
108,Welche Sorte Kase magst du am liebsten? AbGVESE,Bayerischer Bergkase.
109,AbV4E,"Ich finde so ein Mohnbrétchen eigentlich ganz geil. Und bei Brot, schénes Steinhofen, Brot ist gut."
110,"Was ist dein Lieblingsessen, wenn du krank bist?","Gemiisesuppe. Ich hab am liebsten selbst gemacht, so mit Kartoffeln, Zwiebeln, Karotten, vielleicht noch Erbsen. Genau. FE Was ist dein Lieblingsgewiirz oder deine liebste Sauce? a Mein Lieblingsgewiurz ist vermutlich Salz. Das mache ich auch fast immer so."
112,Was ist dein Lieblingssnack im Kino?,SiiBe Popcorn.
114,Was ist dein Lieblingsgericht bei einem Grillabend?,Schones Rinderfilet.
116,"Was ist dein Lieblingsgericht, das es bei Familienfeiern gibt?",Raclette mit sehr viel Kase.
117,Welche Pasta bestellst du am liebsten im Restaurant? * v,a8 Chicken Alfredo.
118,Was ist dein Lieblingsgetrank beim Friihsttick?,Saft.
121,Welche Chipsmarke kaufst du am liebsten?,Doritos (Sweet Pv ar Chili) Oder Gut & Giinstig (Paprika Stapelchips)
123,Was ist dein Lieblingsgericht im Flugzeug (sofern es mal gut ist)? AGVES Snacks,trae 2s! as oo Was ist dein Lieblingsessen an einem Filmabend zu Hause? AbV4E Kartoffelecken
125,Was ist dein Lieblingsgericht beim Lieferservice?,Pizza
127,Was ist dein Lieblingsessen an einem Sonntagnachmittag?,Kaffee & Kuchen
129,Was ist dein Lieblingsgericht nach dem Sport?,AGVESE Proteinmilch (Minus-L 51g)
130,Was ist dein Liebingssnack im Auto auf langen Fahr+on?,Riegel
131,Was ist dein Lieblingsgericht auf Weihnachtsmarkten?,AbV4E Bratwurst mit Brotchen und Ketchup.
132,Was ist dein Lieblingsgetrank auf dem Weihnachtsmarkt?,oRniwetn.
133,Was ist dein Lieblingsgericht auf Volksfesten oder Jahrmarkten?,AbV4L8 Limonade
134,Was ist dein Lieblingsgericht im Kino auBer Popcorn?,Nachos sind auch okay. ren poten oo
135,Was ist dein Lieblingsessen im Sommerurlaub?,Grillen.
136,"Was ist dein Lieblingsrestaurant-Typ — eher gemiltlich, schick oder Streetfood-Style?","AGVESE gemitlich und authentisch. F Was ist dein Lieblingsgetrank am Abend, wenn du einfach entspannen willst? AbVLES Radler."
138,Was ist dein Lieblingsobst im Sommer?,AbV4E Ananas
139,Was ist dein Lieblingsobst im Winter?,we oe ak Clementine
140,Was ist dein Lieblingssnack im Biro oder beim Arbeiten?,"Kénnen wir die Fragen mehr durchmischen? Aktuell sind es nur noch Fragen zu Essen und Trinken Guter Punkt — das ist sonst wie ein Bewerbungsges™, “ich bei Lieferando. Ich misch ab jetzt wieder: Lifestyle, Alltag, kleine Eigenheiten, Hobbys, Reisen, Musik, Technik,"
140,"(neu gestartet, gemischt):",Welches Lied kannst du fast auswendig mitsingen? Keins
141,Was war dein Lieblingsfach in der Schule - abgesehen von Sport?,"AGVESE Keins F bone a8 Was machst du meistens zuerst, wenn du nach Hause kommst? AbVLES Meiner Frau und meinem Hund “Hallo” sagen."
143,"Welchen Gegenstand hast du immer bei dir, egal wohin du gehst?",Handy
144,Vv Was ist dein Lieblingssport zum Zuschauen?,-. a8 ow aw FuBball
145,Was ist dein Lieblingssport zum Selbermachen?,5 CrossFit
146,"Welches Reiseziel wirdest du sofort wahlen, wenn 0"": morgen losfliegen kénntest? Vv",Australien
147,Was ist dein Lieblingslied oder Kiinstler zum Autofahren?,RV4E8 Ed Sheeran
148,Was ist dein Lieblingsduft bei Parfums oder Aftershaves?,AbV4SE nid® neuls.
149,Was ist dein Lieblingsfeiertag im Jahr - auBer Weihnachten?,"AbV4AES Halloween, weil ich es sweet finde, wie die Kinder von Haus zu Haus ziehen und nach SiiBigkeiten fragen."
150,Was ist dein Lieblingsort in deiner Kindheit gewesen?,gespielt habe.
151,"Was ist dein Lieblingsfilmzitat oder eine Filmszene, die dir im Kopf geblieben ist?","Szene aus Top Gun Maverick: Auf einmal wird ein Flug im Quartier angekiindigt, von dem keiner weif. Der Hauptdarsteller ""Captain Pete ""Maverick"" Mitchell"" (gespielt von Tom Cruise) ist in den Flieger gestiegen und beweist, dass die Flugroute geflogen werden kann, obwohl zuvor jeder gescheitert ist."
152,"Vv Was ist dein Lieblingsoutfit, wenn du einfach du selbst sein willst?","Oversized Shirt, weite Stoffhose, vielleicht eine Baseball Cap."
153,"Was ist dein Lieblingsort, um kreativ zu werden?","AbV4LE Ein schénes Café, wo auch ein bisschen was los ist"
154,"Was ist dein Lieblingslied, wenn du Motivation brauchst?",A6RL8 = bona «. oo So: irgendwas von Mackenzie Mackay. Beim Sport: irgendwas elektronisches wie EDM.
155,"Was ist dein Lieblingspodcast oder einer, den du regelmaBig horst?","Lieblings: Lenny's Podcast Andere, die ich mag: Crucible Moments, Dive Club, Access, The Decoder"
157,Was ist dein Lieblingskleidungsstiick im Winter?,OGRE Mitze
158,Was ist dein Lieblingsauto oder Traumauto? v,"AnDNAS Wenn ich mir eins kaufen wiirde, wiird mir eine Mercedes E-Klasse Kombi reichen"
159,Was ist dein Lieblings-Feiertagsfilm?,Kevin allein zu Haus & Kevin allein in New York
160,"Was ist dein Lieblingsort, um zur Ruhe zu kommen?","AbV4ES Irgendwo hier drauBen auf dem Land, wo ich lebe"
161,Was ist dein Lieblingskleidungsstil bei anderen?,"Minimalistisch, Casual und cool"
162,"Was ist dein Lieblingszitat oder Spruch, der dich begleitet?",Hoe ‘ i. my neitie
163,"Was ist dein Lieblingsstiick Technik, das du besitzt?",AbV4LE Handy
164,Was ist dein Lieblingsmoment am Tag?,"Abends, wenn ich entspannen kann"
165,"Was ist dein Lieblingsplatz in deiner Umgebung, an dem du oft bist?",AbGV4ESE Hier in den Feldwegen gehe ich gerne spazieren
166,Was ist dein Lieblingssong oder Musikrichtung beim Sport?,"AbV4ES Was elektronisches wie EDM FE Was ist dein Lieblingsort in der Natur - Wald, See, Berg oder Meer? ObV4LE Berg"
168,Was ist dein Lieblingswochentag fiirs Ausschlafen?,AbV4LE Sonntag
169,"Was ist dein Lieblingsort im Urlaubsort - Pool, Strand, Stadt oder Balkon?",Ue ey Stadt
170,Was ist dein Lieblingsmoment im Jahr?,Sommer
171,"Was ist dein Lieblingsaccessoire, das du gern sammelst oder oft wechselst?",AGbVEE Cap
172,Was ist dein Lieblingssportereignis im Jahr?,"AbgV4ES Alle zwei Jahre FuBball-WM oder -EM. Ansonsten genieBe alle méglichen Sportevents wie Olympia, Tennisspiele von Zverev oder Basketball-WM/-EM"
173,Was ist dein Lieblingsmoment im Alltag mit deinem ‘yw,Ab6V4AES en Jeteee a Wenn er zwischen meinen Beinen schlaft
174,"Was ist dein Lieblingsort, um abends spazieren zu gehen?","Bitte die Fragen nochmals checken. Zu viele Lieblingsorte aktuell Stimmt. Wir sind in einer kleinen Lieblingsschleife gelandet. Ich misch's wieder — mehr Abwechslung, mehr kleine Eigenheiten und Alltagsmomente."
174,"(neu): Was machst du fast automatisch, wenn du gute Laune hast?",Lachen
176,Welche kleine Sache im Alltag macht dich sofort nervos?,"AQb6RV4LE Wenn mich jemand anruft, insbesondere wenn ich die Person nicht kenne."
177,"Was wiirdest du tun, wenn du morgen plétzlich einen Tag komplett allein hattest - ohne Termine, ohne","Verpflichtungen? AGV4ESE Aktuell wiirde ich vermutlich zu Hause einen entspannten Tag machen, laufen gehen und dann was gutes zu essen kochen. Den Abend dann mit Serie ausklingen lassen. Vv"
184,"Was war das schGnste Kompliment, das du in letzter 7eit bekommen hast?",Dass ich ein Visionar sei.
185,"Was ist etwas, das du dir in den letzten Jahren selbst beigebracht hast? AGVESE",Alles rund um KI
186,"Was machst du meistens als Erstes, wenn du an einem neuen Ort ankommst?",AbgV4ES soe - wie sraut or Runes.
187,"Was ist etwas, das du friiher mochtest, aber heute gar nicht mehr?",Autofahren
188,"Was war das mutigste, das du je gemacht hast?",Paragliding
190,"Was ist etwas, das du gern verlernen wiirdest? Meinen Anspruch an Perfektion","FE Was war das letzte richtig gute Gesprach, das du gefilhrt hast - und worum ging's? a Mit meinem neuen Therapeuten. Uber das Ungleichgewicht in meinem Kopf und meinem Leben."
192,"Was ist etwas, das du als Kind unbedingt werden wolltest? AGVESE Fussballstar",Fraae 193: ADAM mee lain Gentes 1 Ich bin eine Fuhrungsperson und griinde Unternehmen.
194,"Was ist etwas, das du regelmalsig tust, eintach weil es sich richtig antuhit?",AbV4ES Leute loben.
196,"Was ist ein kleiner Luxus, den du dir regelmaBig génnst?","Ich gehe im Supermarkt einkaufen, ohne auf die Preise zu achten."
197,Ne,"Was war das letzte Erlebnis, bei dem du richtig stolz auf dich warst? Ue ey Japan-Reise, einfach weil wir uns das leisten konnten."
198,"Was ist etwas, das du dir fiir die nachsten zwolf Monate wiinschst?",Dass mein aktuelles Startup Humique erfolgreich wird.
199,"Was ist etwas, das du gern 6fter sagen widest, aber selten tust?",Fallt mir grad nix ein.
200,"Was wirdest du tun, wenn du fiir einen Tag komplett unsichtbar warst? AbGVESE","Lass uns von hier an andere Frage stellen: was muss ich beantworten, damit ein KI-Agent mich wirklich kennt und jede Aufgabe fiir mich erledigen kann (bis hin zu Buchung von Reisen oder Kauf von Produkten) Das ist eine gute Wendung. Wenn du willst, dass ein KI-Agent dich wirklich kenm — also nicht nur oberflachlich versteht, sondern ine 1. Identitat & Werte (wer du bist) * Was treibt dich an? (Motive, Lebensziele, Angste) * Was ist dir im Zweifel wichtiger: Zeit, Geld, Kontrolle, Sicherheit oder Freiheit? * Welche Werte sind flr dich nicht verhandelbar? * Wie triffst du Entscheidungen: spontan, logisch, emotional, durch Vergleich, durch Gefiihl? 2. Routinen & Systeme (wie du funktionierst) * Wie sieht dein typischer Tag aus — Arbeitszeiten, Essgewohnheiten, Ruhephasen, Sport, Fokuszeiten? * Welche Tools nutzt du wofiir (z. B. Spotify, Notion, WhatsApp, Kalender, Browser)? * Wie kommunizierst du: kurz & direkt oder ausfihrlich & kontextreich? * Wie mochtest du erinnert, benachrichtigt, motiviert oder gewarnt werden? 3. DrSfaranzan 2 Kethatil fume diimanet) + 'Weiche Marken, Orté, Materialien, Farben, Klange und Designs sprechen dich an? * Was bedeutet ,schén’ fiir dich - in Kleidung, Raumen, Sprache, Technik, Interfaces? * Welche Art von Musik, Film, Essen, Duft, Stimmung beruhigt dich oder bringt dich in Flow? 4. Entscheidungen & Kontexte (wie du wahlst) + Wie triffst du Kaufentscheidungen (z. B. rational, emotional, Uber Bewertungen, Empfehlungen)? * Was sind deine No-Gos bei Reisen, Produkten oder Menschen? * Worauf achtest du bei Preis-Leistung? * Welche Bediirfnisse dominieren wann (z. B. Komfort, Erlebnis, Status, Sinn)? 5. Ziele & Dynamik (wo du hinwillst) * Was willst du in den nachsten 3, 6, 12 Monaten erreichen (beruflich, privat, kOrperlich, emotional)? * Wie misst du Fortschritt? (Gefiihl, Zahlen, Feedback, Routinen) * Wie viel Autonomie darf der Agent haben? (Vors~hlagen, Vorbereiten oder direkt Ausfiihren) * Was ware fiir dich der Punkt, an dem du sagst: ,~. denkt wie ich” bone * e. a8 Wenn du magst, kann ich daraus eine strukturierte Interview-Reihe mit 100 gezielten Fragen machen — so, dass du danach ein komplettes ,,Personal OS Profil"" hast, das ein KI-Agent wirklich nutzen kann. Willst du, dass ich das aufsetze? AbV4LE Gerne Gut. Dann bauen wir daraus eine Art ,Seelen- und System-Scan"" in fiinf Blocken — leicht zu beantworten, aber tief genug, damit ein Agent wirklich wie du denkt und entscheidet. Ich stelle dir immer 5-10 Fragen pro Block. Du antwortest einfach frei; ich passe Tiefe und Richtung danach an. Wir starten mit Block 1: Identitat & Werte. ' te tenet a a8 Was treibt dich im Kern an — also wofiir stehst du morgens auf, auch wenn du keinen Druck von auBen hattest?"
5,"Was brauchst du, um dich innerlich sicher zu fulhlen?","Wollen wir in diesem Tempo weitermachen (5 Fragen pro Abschnitt), oder lieber Kompakter mit mehr auf einmal? Frage fiir Frage bitte, wie bisher"
1,"Was treibt dich im Kern an — also woftir stehst du morgens auf, auch wenn du keinen Druck von auBen hattest?",AbVLES Ich mochte etwas in der Welt bewegen
3,Wenn du zwischen Effizienz und Griindlichkeit wahlen musst — was gewinnt?,AGVEE Effizienz
4,Was stresst dich am meisten in der Zusammenarbeit mit anderen?,AbV4LES
5,"Was brauchst du, um dich innerlich sicher zu fihlen?",AbV4E Vertrauen
6,"Was bedeutet ,,Erfolg” fr dich - eher Anerkennung, Wirkung oder Freiheit?",Wirkung bon Jenene a8
